agent_id,agent_type,model_architecture,deployment_environment,task_category,task_complexity,autonomy_level,success_rate,accuracy_score,efficiency_score,execution_time_seconds,response_latency_ms,memory_usage_mb,cpu_usage_percent,cost_per_task_cents,human_intervention_required,error_recovery_rate,multimodal_capability,edge_compatibility,privacy_compliance_score,bias_detection_score,timestamp,data_quality_score,performance_index,cost_efficiency_ratio,autonomous_capability_score,overall_performance_score,resource_efficiency_score,cost_effectiveness,weighted_quality_score,complexity_autonomy_ratio,success_autonomy_interaction,latency_per_operation,arch_performance_benchmark,env_avg_cost_per_complexity,hour_of_day,is_weekend
AG_01012,Project Manager,PaLM-2,Server,Text Processing,5,3,0.4788,0.6455,0.6573,22.42,383.35,308.9,53.1,0.0106,True,0.4999,False,False,0.939,0.8061,2024-12-24 04:16:15,0.951,0.58236,50.20344827586207,64.993,0.5938666666666667,0.040072939700376585,56.0251572327044,0.63992,0.6,1.4364,17.098572702943798,0.0611166666666666,0.0033007674175458608,4,False
AG_00758,Marketing Assistant,Mixtral-8x7B,Hybrid,Decision Making,6,5,0.4833,0.566,0.5844,9.3,127.38,372.4,84.9,0.0068,True,0.558,False,False,0.8281,0.7816,2024-12-24 04:16:15,0.7822,0.53844,69.03076923076924,89.06,0.5445666666666666,0.0184838674171547,80.08333333333333,0.57616,0.8333333333333334,2.4165,13.696774193548386,0.021599999999999953,0.0032901654732797768,4,False
AG_00966,QA Tester,Mixtral-8x7B,Server,Communication,2,4,0.8116,0.8395,0.765,10.37,2185.27,183.3,45.9,0.0053,False,0.9196,False,False,0.745,0.8214,2024-12-24 04:16:15,0.7621,0.80599,127.93492063492064,124.372,0.8053666666666667,0.09092562284051645,151.9559748427673,0.8128600000000001,2.0,3.2464,210.72999035679848,0.2824,0.0033007674175458608,4,False
AG_00480,Code Assistant,CodeT5+,Hybrid,Creative Writing,8,6,0.3574,0.4888,0.4742,43.85,1847.43,488.2,75.3,0.0195,True,0.3809,True,False,0.9653,0.8684,2024-12-24 04:16:15,0.8117,0.4318599999999999,21.06634146341463,86.663,0.4401333333333333,0.012899378860360826,22.57094017094017,0.50082,0.75,2.1444,42.130672748004564,-0.10403333333333326,0.0032901654732797768,4,False
AG_01050,QA Tester,Falcon-180B,Edge,Planning & Scheduling,3,4,0.5706,0.7137,0.7209,23.02,254.3,278.4,15.1,0.0105,True,0.6717,False,True,0.9042,0.8417,2024-12-24 04:16:15,0.7762,0.65862,57.27130434782609,87.019,0.6684,0.17148606987896783,63.65714285714285,0.66896,1.3333333333333333,2.2824,11.046915725456126,0.14106666666666667,0.0033751567840054684,4,False
AG_00037,Email Manager,Transformer-XL,Edge,Communication,5,7,0.5125,0.5315,0.6546,11.04,352.82,346.3,66.5,0.0071,True,0.6045,False,True,0.8171,0.9265,2024-12-24 04:16:15,0.9492,0.5608299999999999,69.23827160493826,112.315,0.5661999999999999,0.028425091026729396,79.74647887323943,0.60744,1.4,3.5874999999999995,31.958333333333336,0.04851666666666665,0.0033751567840054684,4,False
AG_00069,Project Manager,InstructGPT,Desktop,Text Processing,4,2,0.6605,0.728,0.712,14.93,674.7,326.1,62.6,0.0082,True,0.6991,False,False,0.739,0.8922,2024-12-24 04:16:15,0.9764,0.6961999999999999,75.67391304347825,68.93700000000001,0.7001666666666667,0.034878264081364324,85.38617886178862,0.75068,0.5,1.321,45.19089082384461,0.14798333333333347,0.0033411305751704992,4,False
AG_03286,Sales Assistant,GPT-4o,Edge,Creative Writing,8,8,0.3,0.4,0.4925,48.55,517.5,506.7,87.6,0.0213,True,0.3682,True,True,0.9789,0.7308,2024-12-24 04:16:16,0.7716,0.38775,17.387892376681613,105.774,0.39749999999999996,0.011095611049381214,18.661971830985916,0.43432000000000004,1.0,2.4,10.659114315139032,-0.1657833333333334,0.0033751567840054684,4,False
AG_01522,Project Manager,LLaMA-3,Edge,Learning & Adaptation,8,8,0.301,0.4148,0.4506,122.3,955.46,524.6,74.5,0.046,True,0.3322,False,True,0.9223,0.9319,2024-12-24 04:16:16,0.955,0.38002,8.085531914893618,103.254,0.3888,0.011529397917748771,8.452173913043477,0.47732,1.0,2.408,7.812428454619788,-0.1581333333333334,0.0033751567840054684,4,False
AG_01927,Customer Service,Claude-3.5,Hybrid,Research & Summarization,7,6,0.5196,0.5161,0.5407,47.62,1236.88,503.7,71.5,0.0209,True,0.6036,False,True,0.9388,0.7862,2024-12-24 04:16:16,0.9727,0.52488,23.967123287671235,102.252,0.5254666666666666,0.015013376538093632,25.14194577352472,0.60882,0.8571428571428571,3.1175999999999995,25.97396052078959,-0.04081666666666672,0.0032901654732797768,4,False
